剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,闭环ID,层级路径,角色关系类型,主题,叙事结构线,波动型,关系演化结局,联动层级序号,联动匹配强度,是否主路径
01029006,山海关【五、六本】,历史戏,40.64,0.0653,0.1766,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,3,87.3,否
01029006,山海关【五、六本】,历史戏,40.64,0.0653,0.1766,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,4,87.3,否
01029006,山海关【五、六本】,历史戏,40.64,0.0653,0.1766,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,5,47.0,否
01029006,山海关【五、六本】,历史戏,40.64,0.0653,0.1766,loop-004,亲属关系>礼教品格>中峰型>中峰-中段伦理压迫>亲情牺牲,亲属关系,礼教品格,中峰型,中峰-中段伦理压迫,亲情牺牲,6,36.2,否
01029006,山海关【五、六本】,历史戏,40.64,0.0653,0.1766,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,7,32.6,否
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,1,61.8,是
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,2,61.8,否
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,3,54.6,否
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,4,54.6,否
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,5,57.0,否
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,6,48.0,否
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-004,亲属关系>礼教品格>中峰型>中峰-中段伦理压迫>亲情牺牲,亲属关系,礼教品格,中峰型,中峰-中段伦理压迫,亲情牺牲,7,39.0,否
01029007,吴汉杀妻,历史戏,24.53,0.2349,0.4698,loop-065,审判与恩怨关系>恩怨报偿>后峰型>后峰-末端清算>因果报应,审判与恩怨关系,恩怨报偿,后峰型,后峰-末端清算,因果报应,8,34.25,否
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,92.0,是
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,92.0,否
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,3,59.15,否
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,4,59.15,否
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,5,52.4,否
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-016,婚恋关系>家庭亲情>前锋型>前锋-先决裂后修补>夫妻重圆,婚恋关系,家庭亲情,前锋型,前锋-先决裂后修补,夫妻重圆,6,67.8,否
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-012,婚恋关系>婚恋姻缘>中峰型>中峰-中段离合>婚恋成全,婚恋关系,婚恋姻缘,中峰型,中峰-中段离合,婚恋成全,7,46.2,否
01030001,黛玉焚稿,家庭戏,33.85,0.1555,0.2023,loop-022,婚恋关系>文人世情>前锋型>前锋-先误判后澄清>礼法压服,婚恋关系,文人世情,前锋型,前锋-先误判后澄清,礼法压服,8,38.55,否
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,1,43.0,是
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,2,43.0,否
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,3,32.65,否
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,4,32.65,否
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,5,37.15,否
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,6,34.9,否
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-033,权力关系>公案冤狱>中峰型>中峰-中段审判>权谋败露,权力关系,公案冤狱,中峰型,中峰-中段审判,权谋败露,7,29.05,否
01030004,三雅园,历史戏,41.14,0.1124,0.2106,loop-045,同盟关系>政治权力>前锋型>前锋-开端突发>阵营转投,同盟关系,政治权力,前锋型,前锋-开端突发,阵营转投,8,32.2,否
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,1,54.0,是
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,2,54.0,否
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,3,40.05,否
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,4,40.05,否
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-027,权力关系>忠义家国>后峰型>后峰-迟来显义>权力更替,权力关系,忠义家国,后峰型,后峰-迟来显义,权力更替,5,34.2,否
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,6,29.0,否
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-007,亲属关系>忠义家国>后峰型>后峰-压轴报偿>宗族复位,亲属关系,忠义家国,后峰型,后峰-压轴报偿,宗族复位,7,25.4,否
01030006,山海关【七、八本】,历史戏,33.17,0.1272,0.4243,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,8,22.25,否
01030008,串珠记,家庭戏,33.43,0.2098,0.37,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,1,65.0,是
01030008,串珠记,家庭戏,33.43,0.2098,0.37,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,2,65.0,否
01030008,串珠记,家庭戏,33.43,0.2098,0.37,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,3,40.25,否
01030008,串珠记,家庭戏,33.43,0.2098,0.37,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,4,40.25,否
01030008,串珠记,家庭戏,33.43,0.2098,0.37,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,5,40.25,否
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,1,69.0,是
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,2,69.0,否
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,3,56.4,否
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,4,56.4,否
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-007,亲属关系>忠义家国>后峰型>后峰-压轴报偿>宗族复位,亲属关系,忠义家国,后峰型,后峰-压轴报偿,宗族复位,5,43.8,否
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,6,27.8,否
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,7,26.45,否
01030009,贾政训子,家庭戏,28.26,0.2451,0.3366,loop-029,权力关系>忠义家国>多峰型>多峰-连战递进>权谋败露,权力关系,忠义家国,多峰型,多峰-连战递进,权谋败露,8,25.1,否
01030010,十二红【头本】,家庭戏,29.85,0.3967,0.4422,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,44.0,是
01030010,十二红【头本】,家庭戏,29.85,0.3967,0.4422,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,44.0,否
01030010,十二红【头本】,家庭戏,29.85,0.3967,0.4422,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,3,29.15,否
01030010,十二红【头本】,家庭戏,29.85,0.3967,0.4422,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,4,29.15,否
01030010,十二红【头本】,家庭戏,29.85,0.3967,0.4422,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,5,28.7,否
01030010,十二红【头本】,家庭戏,29.85,0.3967,0.4422,loop-039,同盟关系>战争武略>多峰型>多峰-连战递进>同盟破裂,同盟关系,战争武略,多峰型,多峰-连战递进,同盟破裂,6,18.1,否
01030010,十二红【头本】,家庭戏,29.85,0.3967,0.4422,loop-045,同盟关系>政治权力>前锋型>前锋-开端突发>阵营转投,同盟关系,政治权力,前锋型,前锋-开端突发,阵营转投,7,12.25,否
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,96.0,是
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,96.0,否
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,3,58.2,否
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,4,58.2,否
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,5,56.85,否
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-016,婚恋关系>家庭亲情>前锋型>前锋-先决裂后修补>夫妻重圆,婚恋关系,家庭亲情,前锋型,前锋-先决裂后修补,夫妻重圆,6,74.55,否
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-022,婚恋关系>文人世情>前锋型>前锋-先误判后澄清>礼法压服,婚恋关系,文人世情,前锋型,前锋-先误判后澄清,礼法压服,7,59.7,否
01031002,牢狱鸳鸯【头、二本】,家庭戏,40.2,0.1399,0.3938,loop-014,婚恋关系>婚恋姻缘>多峰型>多峰-离合循环>夫妻重圆,婚恋关系,婚恋姻缘,多峰型,多峰-离合循环,夫妻重圆,8,52.05,否
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,1,37.2,是
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,2,37.2,否
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,3,34.95,否
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,4,34.95,否
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-048,冲突关系>战争武略>多峰型>多峰-连战递进>敌对消灭,冲突关系,战争武略,多峰型,多峰-连战递进,敌对消灭,5,28.9,否
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-054,冲突关系>恩怨报偿>多峰型>多峰-恩怨反复>复仇完成,冲突关系,恩怨报偿,多峰型,多峰-恩怨反复,复仇完成,6,27.55,否
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-053,冲突关系>除暴侠义>后峰型>后峰-压轴报偿>阵营转投,冲突关系,除暴侠义,后峰型,后峰-压轴报偿,阵营转投,7,27.1,否
01031003,博浪锥,历史戏,23.98,0.3149,0.2464,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,8,25.9,否
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-021,婚恋关系>文人世情>平稳型>平稳-中段微折>贞节守义,婚恋关系,文人世情,平稳型,平稳-中段微折,贞节守义,1,42.05,是
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-022,婚恋关系>文人世情>前锋型>前锋-先误判后澄清>礼法压服,婚恋关系,文人世情,前锋型,前锋-先误判后澄清,礼法压服,2,42.05,否
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-017,婚恋关系>家庭亲情>后峰型>后峰-终局和解>贞节守义,婚恋关系,家庭亲情,后峰型,后峰-终局和解,贞节守义,3,37.55,否
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-015,婚恋关系>家庭亲情>平稳型>平稳-循环回归>婚恋错失,婚恋关系,家庭亲情,平稳型,平稳-循环回归,婚恋错失,4,37.55,否
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-014,婚恋关系>婚恋姻缘>多峰型>多峰-离合循环>夫妻重圆,婚恋关系,婚恋姻缘,多峰型,多峰-离合循环,夫妻重圆,5,31.7,否
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,6,37.0,否
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,7,22.15,否
01031004,闺房戏,家庭戏,25.26,0.3212,0.509,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,8,22.15,否
01031005,晴雯撕扇,家庭戏,28.87,0.3436,0.3925,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,51.0,是
01031005,晴雯撕扇,家庭戏,28.87,0.3436,0.3925,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,51.0,否
01031005,晴雯撕扇,家庭戏,28.87,0.3436,0.3925,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,3,32.55,否
01031005,晴雯撕扇,家庭戏,28.87,0.3436,0.3925,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,4,32.55,否
01031005,晴雯撕扇,家庭戏,28.87,0.3436,0.3925,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,5,31.2,否
01031006,莲花塘,神怪戏,24.97,0.1173,0.1859,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,1,51.0,是
01031006,莲花塘,神怪戏,24.97,0.1173,0.1859,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,2,51.0,否
01031006,莲花塘,神怪戏,24.97,0.1173,0.1859,loop-004,亲属关系>礼教品格>中峰型>中峰-中段伦理压迫>亲情牺牲,亲属关系,礼教品格,中峰型,中峰-中段伦理压迫,亲情牺牲,3,30.3,否
01031006,莲花塘,神怪戏,24.97,0.1173,0.1859,loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,宗族复位,4,30.3,否
01031006,莲花塘,神怪戏,24.97,0.1173,0.1859,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,5,30.3,否
01031006,莲花塘,神怪戏,24.97,0.1173,0.1859,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,6,21.65,否
01031006,莲花塘,神怪戏,24.97,0.1173,0.1859,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,7,19.4,否
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,1,61.0,是
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,2,61.0,否
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,3,40.75,否
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-004,亲属关系>礼教品格>中峰型>中峰-中段伦理压迫>亲情牺牲,亲属关系,礼教品格,中峰型,中峰-中段伦理压迫,亲情牺牲,4,40.75,否
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-041,同盟关系>战争武略>后峰型>后峰-结尾爆发>阵营转投,同盟关系,战争武略,后峰型,后峰-结尾爆发,阵营转投,5,61.3,否
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-044,同盟关系>除暴侠义>后峰型>后峰-压轴报偿>君臣尽忠,同盟关系,除暴侠义,后峰型,后峰-压轴报偿,君臣尽忠,6,32.05,否
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-048,冲突关系>战争武略>多峰型>多峰-连战递进>敌对消灭,冲突关系,战争武略,多峰型,多峰-连战递进,敌对消灭,7,56.9,否
01031008,桂阳城,历史戏,31.19,0.2024,0.4045,loop-059,冲突关系>善恶转化>平稳型>平稳-余波消解>敌对消灭,冲突关系,善恶转化,平稳型,平稳-余波消解,敌对消灭,8,33.95,否
01031009,雍凉关,历史戏,25.25,0.2127,0.2155,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,1,92.35,是
01031009,雍凉关,历史戏,25.25,0.2127,0.2155,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,2,92.35,否
01031009,雍凉关,历史戏,25.25,0.2127,0.2155,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,3,89.2,否
01031009,雍凉关,历史戏,25.25,0.2127,0.2155,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,4,89.2,否
01031009,雍凉关,历史戏,25.25,0.2127,0.2155,loop-027,权力关系>忠义家国>后峰型>后峰-迟来显义>权力更替,权力关系,忠义家国,后峰型,后峰-迟来显义,权力更替,5,59.95,否
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,1,60.05,是
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,2,60.05,否
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,3,60.05,否
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,4,60.05,否
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,5,51.0,否
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,6,41.1,否
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-050,冲突关系>战争武略>后峰型>后峰-结尾爆发>复仇完成,冲突关系,战争武略,后峰型,后峰-结尾爆发,复仇完成,7,40.8,否
01031010,选元戎,历史戏,32.86,0.1871,0.3435,loop-054,冲突关系>恩怨报偿>多峰型>多峰-恩怨反复>复仇完成,冲突关系,恩怨报偿,多峰型,多峰-恩怨反复,复仇完成,8,29.55,否
01031011,借茶活捉,家庭戏,26.98,0.6559,0.0403,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,66.0,是
01031011,借茶活捉,家庭戏,26.98,0.6559,0.0403,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,66.0,否
01031011,借茶活捉,家庭戏,26.98,0.6559,0.0403,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,3,41.25,否
01031011,借茶活捉,家庭戏,26.98,0.6559,0.0403,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,4,41.25,否
01031011,借茶活捉,家庭戏,26.98,0.6559,0.0403,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,5,39.45,否
01031012,瑶池会,家庭戏,30.15,0.2049,0.394,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,1,44.0,是
01031012,瑶池会,家庭戏,30.15,0.2049,0.394,loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,亲情牺牲,2,44.0,否
01031012,瑶池会,家庭戏,30.15,0.2049,0.394,loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,权力更替,3,38.4,否
01031012,瑶池会,家庭戏,30.15,0.2049,0.394,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,4,38.4,否
01031012,瑶池会,家庭戏,30.15,0.2049,0.394,loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,权谋败露,5,32.1,否
