剧本编号,剧本名字,叙事模式ID,叙事模式名称,英文名称,场次数,五阶段强度曲线,五阶段主冲突,峰值阶段,峰值强度(%),强度振幅,场次波动次数,局部峰值数,判定依据,置信度,关键证据场次
01035001,狸猫换太子,M03,多峰波折型,The Rollercoaster,55,39-48-64-48-56.3,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:公案审判；结局:公案审判,转折,64.0,25.0,32,9,场次级方向切换32次、局部峰值9个，振幅25.0点。,0.76,"开端:第一场(敌我攻守,39%)；发展:第十七场(忠义抉择,65%)；转折:第三十场(骨肉伦理,64%)；高潮:第三十四场(公案审判,62%)；结局:第五十二场(公案审判,63%)"
01035002,徐母骂曹,M06,结尾爆发型,The Final Reveal,4,35-35-65-65-73,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,73.0,38.0,0,0,峰值出现在结局(73.0)，高于前四阶段平均23.0点。,0.83,"开端:第一场(敌我攻守,35%)；发展:第二场(骨肉伦理,35%)；转折:第三场(骨肉伦理,65%)；高潮:第三场(骨肉伦理,65%)；结局:第四场(骨肉伦理,73%)"
01035003,宝玉出家,M03,多峰波折型,The Rollercoaster,3,0-100-48-100-48,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,100.0,100.0,1,1,五阶段显著峰值2个、阶段方向切换3次，振幅100.0点。,0.86,"开端:第一场(骨肉伦理,0%)；发展:第二场(骨肉伦理,100%)；转折:第三场(骨肉伦理,48%)；高潮:第二场(骨肉伦理,100%)；结局:第三场(骨肉伦理,48%)"
01035004,新三娘教子,M03,多峰波折型,The Rollercoaster,7,43-87-36-52.5-86,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,87.0,51.0,4,2,五阶段显著峰值2个、阶段方向切换2次，振幅51.0点。,0.86,"开端:第一场(骨肉伦理,43%)；发展:第二场(骨肉伦理,90%)；转折:第四场(骨肉伦理,36%)；高潮:第五场(骨肉伦理,59%)；结局:第七场(骨肉伦理,86%)"
01035005,慈孝图,M08,独场凝缩型,The Condensed One-scene,1,62-62-62-62-62,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,62.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,62%)；发展:独场(骨肉伦理,62%)；转折:独场(骨肉伦理,62%)；高潮:独场(骨肉伦理,62%)；结局:独场(骨肉伦理,62%)"
01035006,道州城,M03,多峰波折型,The Rollercoaster,9,70-54-24-46.3-60,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,70.0,46.0,5,2,五阶段显著峰值2个、阶段方向切换1次，振幅46.0点。,0.86,"开端:第一场(敌我攻守,70%)；发展:第四场(敌我攻守,61%)；转折:第五场(敌我攻守,24%)；高潮:第七场(敌我攻守,66%)；结局:第九场(敌我攻守,60%)"
01035007,凤凰山,M05,开端爆发型,In Medias Res,10,61-39.7-60-51.5-44,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,61.0,21.33,5,2,峰值出现在开端(61.0)，高于后续平均12.2点。,0.82,"开端:第一场(敌我攻守,61%)；发展:第二场(敌我攻守,55%)；转折:第五场(敌我攻守,60%)；高潮:第八场(敌我攻守,65%)；结局:第十场(敌我攻守,44%)"
01035008,麻姑献寿,M03,多峰波折型,The Rollercoaster,6,37-25-37-47.5-63,开端:骨肉伦理；发展:骨肉伦理；转折:神怪显灵；高潮:骨肉伦理；结局:骨肉伦理,结局,63.0,38.0,3,1,五阶段显著峰值2个、阶段方向切换1次，振幅38.0点。,0.86,"开端:第一场(骨肉伦理,37%)；发展:第二场(骨肉伦理,25%)；转折:第三场(神怪显灵,37%)；高潮:第四场(骨肉伦理,72%)；结局:第六场(骨肉伦理,63%)"
01036002,双龙会,M03,多峰波折型,The Rollercoaster,11,29-49-20-43.7-62.5,开端:敌我攻守；发展:君臣撕裂；转折:身份揭晓；高潮:骨肉伦理；结局:骨肉伦理,结局,62.5,42.5,5,2,五阶段显著峰值2个、阶段方向切换2次，振幅42.5点。,0.86,"开端:第一场(敌我攻守,29%)；发展:第三场(君臣撕裂,64%)；转折:第六场(身份揭晓,20%)；高潮:第九场(情爱婚恋,57%)；结局:第十场(骨肉伦理,67%)"
01036003,大香山,M06,结尾爆发型,The Final Reveal,27,36-48.1-49-46.1-56.3,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:神怪显灵,结局,56.33,20.33,20,10,峰值出现在结局(56.3)，高于前四阶段平均11.5点。,0.83,"开端:第一场(骨肉伦理,36%)；发展:第八场(骨肉伦理,82%)；转折:第十五场(敌我攻守,49%)；高潮:第二十三场(骨肉伦理,63%)；结局:第二十六场(敌我攻守,80%)"
01036004,翠花宫,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(骨肉伦理,56%)；发展:第二场(骨肉伦理,56%)；转折:第二场(骨肉伦理,56%)；高潮:第二场(骨肉伦理,56%)；结局:第二场(骨肉伦理,56%)"
01036005,天女散花,M06,结尾爆发型,The Final Reveal,9,18-46.7-43-53.3-67,开端:压抑铺垫；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,67.0,49.0,4,2,峰值出现在结局(67.0)，高于前四阶段平均26.8点。,0.83,"开端:第一场(压抑铺垫,18%)；发展:第三场(骨肉伦理,73%)；转折:第五场(骨肉伦理,43%)；高潮:第七场(骨肉伦理,70%)；结局:第九场(骨肉伦理,67%)"
01036006,平贵别窑,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(情爱婚恋,80%)；发展:第二场(情爱婚恋,80%)；转折:第二场(情爱婚恋,80%)；高潮:第二场(情爱婚恋,80%)；结局:第二场(情爱婚恋,80%)"
01036007,刀劈三关,M06,结尾爆发型,The Final Reveal,18,40-54.8-52-52.3-62.5,开端:骨肉伦理；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,结局,62.5,22.5,10,5,峰值出现在结局(62.5)，高于前四阶段平均12.7点。,0.83,"开端:第一场(骨肉伦理,40%)；发展:第四场(敌我攻守,63%)；转折:第十场(骨肉伦理,52%)；高潮:第十一场(骨肉伦理,83%)；结局:第十八场(敌我攻守,77%)"
01037002,嫦娥奔月,M07,平缓铺陈型,The Low-tension Episodic,16,29-32.1-41-35.8-39.5,开端:敌我攻守；发展:神怪显灵；转折:骨肉伦理；高潮:骨肉伦理；结局:神怪显灵,转折,41.0,12.0,9,4,五阶段振幅12.0点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,29%)；发展:第四场(肢体冲突,59%)；转折:第九场(骨肉伦理,41%)；高潮:第十场(骨肉伦理,62%)；结局:第十六场(神怪显灵,50%)"
01037003,三字经,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(敌我攻守,60%)；发展:第一场(敌我攻守,60%)；转折:第一场(敌我攻守,60%)；高潮:第一场(敌我攻守,60%)；结局:第一场(敌我攻守,60%)"
01037004,葭萌关,M04,单峰转折型,The Early Climax / Anti-climax,8,64-72.5-21-54-54,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,发展,72.5,51.5,4,1,峰值提前在发展(72.5)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,64%)；发展:第二场(敌我攻守,74%)；转折:第四场(敌我攻守,21%)；高潮:第六场(敌我攻守,64%)；结局:第八场(敌我攻守,54%)"
01037005,盘关,M08,独场凝缩型,The Condensed One-scene,1,45-45-45-45-45,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,45.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,45%)；发展:独场(骨肉伦理,45%)；转折:独场(骨肉伦理,45%)；高潮:独场(骨肉伦理,45%)；结局:独场(骨肉伦理,45%)"
01037006,碧游宫,M04,单峰转折型,The Early Climax / Anti-climax,8,70-51-72-52-48,开端:骨肉伦理；发展:神怪显灵；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,72.0,24.0,4,2,峰值提前在转折(72.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,70%)；发展:第三场(骨肉伦理,64%)；转折:第四场(骨肉伦理,72%)；高潮:第七场(骨肉伦理,66%)；结局:第八场(骨肉伦理,48%)"
01037007,界牌关,M05,开端爆发型,In Medias Res,9,63-46.3-28-45.3-54,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,开端,63.0,35.0,3,1,峰值出现在开端(63.0)，高于后续平均19.6点。,0.82,"开端:第一场(骨肉伦理,63%)；发展:第三场(敌我攻守,48%)；转折:第五场(敌我攻守,28%)；高潮:第七场(敌我攻守,65%)；结局:第九场(骨肉伦理,54%)"
01037008,打桃园,M06,结尾爆发型,The Final Reveal,15,33-37.5-39-34.4-58,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,58.0,25.0,9,5,峰值出现在结局(58.0)，高于前四阶段平均22.0点。,0.83,"开端:第一场(敌我攻守,33%)；发展:第三场(骨肉伦理,47%)；转折:第八场(骨肉伦理,39%)；高潮:第十一场(骨肉伦理,44%)；结局:第十四场(骨肉伦理,64%)"
01038001,珠帘寨,M05,开端爆发型,In Medias Res,17,66-52-50-49-47.5,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,开端,66.0,18.5,10,4,峰值出现在开端(66.0)，高于后续平均16.4点。,0.82,"开端:第一场(敌我攻守,66%)；发展:第八场(骨肉伦理,61%)；转折:第九场(骨肉伦理,50%)；高潮:第十三场(骨肉伦理,63%)；结局:第十六场(敌我攻守,51%)"
01038002,取南郡,M06,结尾爆发型,The Final Reveal,30,50-56.9-41-49.5-59.7,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,59.67,18.67,14,4,峰值出现在结局(59.7)，高于前四阶段平均10.3点。,0.83,"开端:第一场(敌我攻守,50%)；发展:第十四场(敌我攻守,70%)；转折:第十六场(敌我攻守,41%)；高潮:第二场(敌我攻守,71%)；结局:第十二场(敌我攻守,69%)"
01038003,芭蕉扇,M04,单峰转折型,The Early Climax / Anti-climax,17,54-44.9-55-35.2-53,开端:骨肉伦理；发展:骨肉伦理；转折:神怪显灵；高潮:骨肉伦理；结局:神怪显灵,转折,55.0,19.83,8,4,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(骨肉伦理,54%)；发展:第四场(骨肉伦理,58%)；转折:第九场(神怪显灵,55%)；高潮:第十三场(骨肉伦理,55%)；结局:第十六场(神怪显灵,57%)"
01038004,珍珠衫,M03,多峰波折型,The Rollercoaster,3,38-57-76-57-76,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,76.0,38.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅38.0点。,0.86,"开端:第一场(骨肉伦理,38%)；发展:第二场(骨肉伦理,57%)；转折:第三场(骨肉伦理,76%)；高潮:第二场(骨肉伦理,57%)；结局:第三场(骨肉伦理,76%)"
01038005,三世修,M03,多峰波折型,The Rollercoaster,3,30-58-74-58-74,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,74.0,44.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅44.0点。,0.86,"开端:第一场(骨肉伦理,30%)；发展:第二场(骨肉伦理,58%)；转折:第三场(骨肉伦理,74%)；高潮:第二场(骨肉伦理,58%)；结局:第三场(骨肉伦理,74%)"
01038007,五雷报,M03,多峰波折型,The Rollercoaster,6,50-25-87-57-80,开端:骨肉伦理；发展:压抑铺垫；转折:骨肉伦理；高潮:骨肉伦理；结局:神怪显灵,转折,87.0,62.0,3,1,五阶段显著峰值3个、阶段方向切换3次，振幅62.0点。,0.86,"开端:第一场(骨肉伦理,50%)；发展:第二场(压抑铺垫,25%)；转折:第三场(骨肉伦理,87%)；高潮:第五场(骨肉伦理,80%)；结局:第六场(神怪显灵,80%)"
01038009,湘江会,M05,开端爆发型,In Medias Res,8,55-38-43-49.7-30,开端:敌我攻守；发展:敌我攻守；转折:君臣撕裂；高潮:敌我攻守；结局:君臣撕裂,开端,55.0,25.0,4,2,峰值出现在开端(55.0)，高于后续平均14.8点。,0.82,"开端:第一场(敌我攻守,55%)；发展:第三场(骨肉伦理,52%)；转折:第四场(君臣撕裂,43%)；高潮:第六场(骨肉伦理,73%)；结局:第八场(君臣撕裂,30%)"
01038010,宁武关,M06,结尾爆发型,The Final Reveal,7,61-50.5-65-55.5-70,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,70.0,19.5,3,1,峰值出现在结局(70.0)，高于前四阶段平均12.0点。,0.83,"开端:第一场(敌我攻守,61%)；发展:第三场(敌我攻守,67%)；转折:第四场(敌我攻守,65%)；高潮:第五场(敌我攻守,73%)；结局:第七场(敌我攻守,70%)"
01039001,贩马记,M07,平缓铺陈型,The Low-tension Episodic,30,52-48.3-58-51.9-47.7,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,58.0,10.33,14,4,五阶段振幅10.3点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,52%)；发展:第十场(骨肉伦理,67%)；转折:第十六场(骨肉伦理,58%)；高潮:第二十七场(骨肉伦理,71%)；结局:第二十八场(骨肉伦理,61%)"
01039002,玉门关,M03,多峰波折型,The Rollercoaster,22,27-44.6-61-59.7-54.3,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,61.0,34.0,11,2,场次级方向切换11次、局部峰值2个，振幅34.0点。,0.76,"开端:第一场(敌我攻守,27%)；发展:第十场(敌我攻守,56%)；转折:第十二场(敌我攻守,61%)；高潮:第十三场(敌我攻守,66%)；结局:第二十一场(敌我攻守,62%)"
01039003,取南郡,M03,多峰波折型,The Rollercoaster,17,29-53.6-63-53.2-61,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,63.0,34.0,10,5,场次级方向切换10次、局部峰值5个，振幅34.0点。,0.76,"开端:第一场(敌我攻守,29%)；发展:第四场(敌我攻守,64%)；转折:第九场(敌我攻守,63%)；高潮:第一场(敌我攻守,77%)；结局:第八场(敌我攻守,64%)"
01039004,太君辞朝,M05,开端爆发型,In Medias Res,3,62-62-35-62-35,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,62.0,27.0,0,0,峰值出现在开端(62.0)，高于后续平均13.5点。,0.82,"开端:第一场(君臣撕裂,62%)；发展:第二场(君臣撕裂,62%)；转折:第三场(君臣撕裂,35%)；高潮:第二场(君臣撕裂,62%)；结局:第三场(君臣撕裂,35%)"
01039005,戏姻缘,M08,独场凝缩型,The Condensed One-scene,1,54-54-54-54-54,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,54.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,54%)；发展:独场(骨肉伦理,54%)；转折:独场(骨肉伦理,54%)；高潮:独场(骨肉伦理,54%)；结局:独场(骨肉伦理,54%)"
01039006,失金钗,M05,开端爆发型,In Medias Res,13,57-51-12-48.5-55.5,开端:君臣撕裂；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:情爱婚恋,开端,57.0,45.0,6,2,峰值出现在开端(57.0)，高于后续平均15.2点。,0.82,"开端:第一场(君臣撕裂,57%)；发展:第三场(骨肉伦理,69%)；转折:第七场(敌我攻守,12%)；高潮:第十一场(骨肉伦理,52%)；结局:第十二场(情爱婚恋,56%)"
01039007,斩妲己,M05,开端爆发型,In Medias Res,10,65-58.7-40-50.5-64,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,65.0,25.0,5,2,峰值出现在开端(65.0)，高于后续平均11.7点。,0.82,"开端:第一场(敌我攻守,65%)；发展:第三场(敌我攻守,84%)；转折:第五场(敌我攻守,40%)；高潮:第六场(敌我攻守,77%)；结局:第十场(敌我攻守,64%)"
01040001,阎瑞生,M03,多峰波折型,The Rollercoaster,27,63-48.4-38-33-51.7,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,63.0,30.0,17,8,五阶段显著峰值2个、阶段方向切换1次，振幅30.0点。,0.86,"开端:第一场(骨肉伦理,63%)；发展:第五场(情爱婚恋,68%)；转折:第十五场(骨肉伦理,38%)；高潮:第十八场(骨肉伦理,64%)；结局:第二十七场(骨肉伦理,71%)"
01040003,馒头庵,M06,结尾爆发型,The Final Reveal,8,76-44-16-77.7-82,开端:骨肉伦理；发展:骨肉伦理；转折:情爱婚恋；高潮:骨肉伦理；结局:敌我攻守,结局,82.0,66.0,1,0,峰值出现在结局(82.0)，高于前四阶段平均28.6点。,0.83,"开端:第一场(骨肉伦理,76%)；发展:第二场(骨肉伦理,70%)；转折:第四场(情爱婚恋,16%)；高潮:第七场(骨肉伦理,80%)；结局:第八场(敌我攻守,82%)"
01040004,倒厅门,M08,独场凝缩型,The Condensed One-scene,1,58-58-58-58-58,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,58.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,58%)；发展:独场(敌我攻守,58%)；转折:独场(敌我攻守,58%)；高潮:独场(敌我攻守,58%)；结局:独场(敌我攻守,58%)"
01040005,万花船,M03,多峰波折型,The Rollercoaster,14,50-39.2-7-37.5-53.5,开端:骨肉伦理；发展:骨肉伦理；转折:情爱婚恋；高潮:骨肉伦理；结局:骨肉伦理,结局,53.5,46.5,5,2,五阶段显著峰值2个、阶段方向切换1次，振幅46.5点。,0.86,"开端:第一场(骨肉伦理,50%)；发展:第六场(骨肉伦理,49%)；转折:第八场(情爱婚恋,7%)；高潮:第九场(敌我攻守,49%)；结局:第十四场(骨肉伦理,65%)"
01040006,金光阵,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(敌我攻守,60%)；发展:第一场(敌我攻守,60%)；转折:第一场(敌我攻守,60%)；高潮:第一场(敌我攻守,60%)；结局:第一场(敌我攻守,60%)"
01040007,郑恩做亲,M06,结尾爆发型,The Final Reveal,15,44-52-55-44.8-64,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,结局,64.0,20.0,7,3,峰值出现在结局(64.0)，高于前四阶段平均15.0点。,0.83,"开端:第一场(骨肉伦理,44%)；发展:第三场(骨肉伦理,64%)；转折:第八场(敌我攻守,55%)；高潮:第十一场(骨肉伦理,65%)；结局:第十四场(骨肉伦理,78%)"
02001001,天官赐福,M08,独场凝缩型,The Condensed One-scene,1,39-39-39-39-39,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:神怪显灵；结局:神怪显灵,开端,39.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(神怪显灵,39%)；发展:独场(神怪显灵,39%)；转折:独场(神怪显灵,39%)；高潮:独场(神怪显灵,39%)；结局:独场(神怪显灵,39%)"
02001002,三多九如,M08,独场凝缩型,The Condensed One-scene,1,29-29-29-29-29,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,29.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(君臣撕裂,29%)；发展:独场(君臣撕裂,29%)；转折:独场(君臣撕裂,29%)；高潮:独场(君臣撕裂,29%)；结局:独场(君臣撕裂,29%)"
02001003,福禄寿荣,M08,独场凝缩型,The Condensed One-scene,1,51-51-51-51-51,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:神怪显灵；结局:神怪显灵,开端,51.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(神怪显灵,51%)；发展:独场(神怪显灵,51%)；转折:独场(神怪显灵,51%)；高潮:独场(神怪显灵,51%)；结局:独场(神怪显灵,51%)"
02001004,遐龄永祝,M08,独场凝缩型,The Condensed One-scene,1,46-46-46-46-46,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:神怪显灵；结局:神怪显灵,开端,46.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(神怪显灵,46%)；发展:独场(神怪显灵,46%)；转折:独场(神怪显灵,46%)；高潮:独场(神怪显灵,46%)；结局:独场(神怪显灵,46%)"
02001005,风调雨顺,M08,独场凝缩型,The Condensed One-scene,1,36-36-36-36-36,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,36.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,36%)；发展:独场(骨肉伦理,36%)；转折:独场(骨肉伦理,36%)；高潮:独场(骨肉伦理,36%)；结局:独场(骨肉伦理,36%)"
02001008,财源辐辏,M08,独场凝缩型,The Condensed One-scene,1,35-35-35-35-35,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:神怪显灵；结局:神怪显灵,开端,35.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(神怪显灵,35%)；发展:独场(神怪显灵,35%)；转折:独场(神怪显灵,35%)；高潮:独场(神怪显灵,35%)；结局:独场(神怪显灵,35%)"
02001009,八仙庆寿,M08,独场凝缩型,The Condensed One-scene,1,42-42-42-42-42,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:神怪显灵；结局:神怪显灵,开端,42.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(神怪显灵,42%)；发展:独场(神怪显灵,42%)；转折:独场(神怪显灵,42%)；高潮:独场(神怪显灵,42%)；结局:独场(神怪显灵,42%)"
02001013,文王卜卦,M08,独场凝缩型,The Condensed One-scene,1,42-42-42-42-42,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,42.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,42%)；发展:独场(骨肉伦理,42%)；转折:独场(骨肉伦理,42%)；高潮:独场(骨肉伦理,42%)；结局:独场(骨肉伦理,42%)"
02001016,太师回朝,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(敌我攻守,60%)；发展:第一场(敌我攻守,60%)；转折:第一场(敌我攻守,60%)；高潮:第一场(敌我攻守,60%)；结局:第一场(敌我攻守,60%)"
02001017,太师托梦,M03,多峰波折型,The Rollercoaster,3,59-37-77-37-77,开端:神怪显灵；发展:君臣撕裂；转折:敌我攻守；高潮:君臣撕裂；结局:敌我攻守,转折,77.0,40.0,1,0,五阶段显著峰值3个、阶段方向切换3次，振幅40.0点。,0.86,"开端:第一场(神怪显灵,59%)；发展:第二场(君臣撕裂,37%)；转折:第三场(敌我攻守,77%)；高潮:第二场(君臣撕裂,37%)；结局:第三场(敌我攻守,77%)"
02001019,攻潼关,M03,多峰波折型,The Rollercoaster,7,58-37.5-47-64.5-6,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:骨肉伦理,高潮,64.5,58.5,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅58.5点。,0.86,"开端:第一场(骨肉伦理,58%)；发展:第二场(骨肉伦理,43%)；转折:第四场(敌我攻守,47%)；高潮:第五场(骨肉伦理,73%)；结局:第七场(骨肉伦理,6%)"
02001021,孝感天,M06,结尾爆发型,The Final Reveal,6,44-36-47-63-79,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,结局,79.0,43.0,1,0,峰值出现在结局(79.0)，高于前四阶段平均31.5点。,0.83,"开端:第一场(骨肉伦理,44%)；发展:第二场(骨肉伦理,36%)；转折:第三场(骨肉伦理,47%)；高潮:第五场(骨肉伦理,75%)；结局:第六场(骨肉伦理,79%)"
02001022,孝感天,M04,单峰转折型,The Early Climax / Anti-climax,5,54-75-48-63-59,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:神怪显灵；结局:骨肉伦理,发展,75.0,27.0,3,1,峰值提前在发展(75.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,54%)；发展:第二场(骨肉伦理,75%)；转折:第三场(骨肉伦理,48%)；高潮:第四场(神怪显灵,63%)；结局:第五场(骨肉伦理,59%)"
02001023,孝感天,M04,单峰转折型,The Early Climax / Anti-climax,4,62-77-51-51-47,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,77.0,30.0,1,1,峰值提前在发展(77.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,62%)；发展:第二场(骨肉伦理,77%)；转折:第三场(骨肉伦理,51%)；高潮:第三场(骨肉伦理,51%)；结局:第四场(骨肉伦理,47%)"
02001026,米注山,M03,多峰波折型,The Rollercoaster,12,52-52.6-84-33-43,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,84.0,51.0,7,2,五阶段显著峰值2个、阶段方向切换2次，振幅51.0点。,0.86,"开端:第一场(君臣撕裂,52%)；发展:第五场(骨肉伦理,59%)；转折:第七场(骨肉伦理,84%)；高潮:第八场(骨肉伦理,50%)；结局:第二场(君臣撕裂,58%)"
